BuildingIndex,Year,Month,Day,Hour,Quarter,P1(Humidity),P2(WindSpeed),P3(Temp),P4(CloudCover),P5(Rain)
1,2019,2,13,0,0,51,0.6,2,4,0
1,2019,2,13,0,1,36,3.2,3,4,0
1,2019,2,13,0,2,36,3.2,3,4,0
1,2019,2,13,0,3,36,3.2,3,4,0
1,2019,2,13,1,0,36,3.2,3,4,0
1,2019,2,13,1,1,36,3.1,2.8,4,0
1,2019,2,13,1,2,36,3.1,2.8,4,0
1,2019,2,13,1,3,36,3.1,2.8,4,0
1,2019,2,13,2,0,36,3.1,2.8,4,0
1,2019,2,13,2,1,36,2.7,2.3,4,0
1,2019,2,13,2,2,36,2.7,2.3,4,0
1,2019,2,13,2,3,36,2.7,2.3,4,0
1,2019,2,13,3,0,36,2.7,2.3,4,0
1,2019,2,13,3,1,36,3.1,1.7,3,0
1,2019,2,13,3,2,36,3.1,1.7,3,0
1,2019,2,13,3,3,36,3.1,1.7,3,0
1,2019,2,13,4,0,36,3.1,1.7,3,0
1,2019,2,13,4,1,33,2.9,0.9,1,0
1,2019,2,13,4,2,33,2.9,0.9,1,0
1,2019,2,13,4,3,33,2.9,0.9,1,0
1,2019,2,13,5,0,33,2.9,0.9,1,0
1,2019,2,13,5,1,34,1.8,0.5,1,0
1,2019,2,13,5,2,34,1.8,0.5,1,0
1,2019,2,13,5,3,34,1.8,0.5,1,0
1,2019,2,13,6,0,34,1.8,0.5,1,0
1,2019,2,13,6,1,44,1.2,-0.9,1,0
1,2019,2,13,6,2,44,1.2,-0.9,1,0
1,2019,2,13,6,3,44,1.2,-0.9,1,0
1,2019,2,13,7,0,44,1.2,-0.9,1,0
1,2019,2,13,7,1,39,1.2,0.3,1,0
1,2019,2,13,7,2,39,1.2,0.3,1,0
1,2019,2,13,7,3,39,1.2,0.3,1,0
1,2019,2,13,8,0,39,1.2,0.3,1,0
1,2019,2,13,8,1,33,2.6,1.2,1,0
1,2019,2,13,8,2,33,2.6,1.2,1,0
1,2019,2,13,8,3,33,2.6,1.2,1,0
1,2019,2,13,9,0,33,2.6,1.2,1,0
1,2019,2,13,9,1,26,2.6,2.6,1,0
1,2019,2,13,9,2,26,2.6,2.6,1,0
1,2019,2,13,9,3,26,2.6,2.6,1,0
1,2019,2,13,10,0,26,2.6,2.6,1,0
1,2019,2,13,10,1,23,4.5,3.4,1,0
1,2019,2,13,10,2,23,4.5,3.4,1,0
1,2019,2,13,10,3,23,4.5,3.4,1,0
1,2019,2,13,11,0,23,4.5,3.4,1,0
1,2019,2,13,11,1,24,3.4,4.2,1,0
1,2019,2,13,11,2,24,3.4,4.2,1,0
1,2019,2,13,11,3,24,3.4,4.2,1,0
1,2019,2,13,12,0,24,3.4,4.2,1,0
1,2019,2,13,12,1,23,5.8,5.1,1,0
1,2019,2,13,12,2,23,5.8,5.1,1,0
1,2019,2,13,12,3,23,5.8,5.1,1,0
1,2019,2,13,13,0,23,5.8,5.1,1,0
1,2019,2,13,13,1,22,5.3,5.8,1,0
1,2019,2,13,13,2,22,5.3,5.8,1,0
1,2019,2,13,13,3,22,5.3,5.8,1,0
1,2019,2,13,14,0,22,5.3,5.8,1,0
1,2019,2,13,14,1,22,5.7,5.5,1,0
1,2019,2,13,14,2,22,5.7,5.5,1,0
1,2019,2,13,14,3,22,5.7,5.5,1,0
1,2019,2,13,15,0,22,5.7,5.5,1,0
1,2019,2,13,15,1,21,3.3,5.5,1,0
1,2019,2,13,15,2,21,3.3,5.5,1,0
1,2019,2,13,15,3,21,3.3,5.5,1,0
1,2019,2,13,16,0,21,3.3,5.5,1,0
1,2019,2,13,16,1,21,3.8,5.2,1,0
1,2019,2,13,16,2,21,3.8,5.2,1,0
1,2019,2,13,16,3,21,3.8,5.2,1,0
1,2019,2,13,17,0,21,3.8,5.2,1,0
1,2019,2,13,17,1,24,4.1,4.3,1,0
1,2019,2,13,17,2,24,4.1,4.3,1,0
1,2019,2,13,17,3,24,4.1,4.3,1,0
1,2019,2,13,18,0,24,4.1,4.3,1,0
1,2019,2,13,18,1,25,4.4,3.4,1,0
1,2019,2,13,18,2,25,4.4,3.4,1,0
1,2019,2,13,18,3,25,4.4,3.4,1,0
1,2019,2,13,19,0,25,4.4,3.4,1,0
1,2019,2,13,19,1,26,3.9,2.5,4,0
1,2019,2,13,19,2,26,3.9,2.5,4,0
1,2019,2,13,19,3,26,3.9,2.5,4,0
1,2019,2,13,20,0,26,3.9,2.5,4,0
1,2019,2,13,20,1,25,2.6,2.1,3,0
1,2019,2,13,20,2,25,2.6,2.1,3,0
1,2019,2,13,20,3,25,2.6,2.1,3,0
1,2019,2,13,21,0,25,2.6,2.1,3,0
1,2019,2,13,21,1,27,1.9,1.6,4,0
1,2019,2,13,21,2,27,1.9,1.6,4,0
1,2019,2,13,21,3,27,1.9,1.6,4,0
1,2019,2,13,22,0,27,1.9,1.6,4,0
1,2019,2,13,22,1,28,1.6,1.1,4,0
1,2019,2,13,22,2,28,1.6,1.1,4,0
1,2019,2,13,22,3,28,1.6,1.1,4,0
1,2019,2,13,23,0,28,1.6,1.1,4,0
1,2019,2,13,23,1,28,1.6,1.1,4,0
1,2019,2,13,23,2,28,1.6,1.1,4,0
1,2019,2,13,23,3,28,1.6,1.1,4,0
