BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(Temp),P4(CloudCover),P5(SolarIrradiance),Generation
1,2018,6,1,0,1,5,4,19.6,4,31,0
1,2018,6,1,0,2,5,4,19.6,4,31,0
1,2018,6,1,0,3,5,4,19.6,4,31,0
1,2018,6,1,1,0,5,4,18.7,1,31,0
1,2018,6,1,1,1,5,4,18.7,1,31,0
1,2018,6,1,1,2,5,4,18.7,1,31,0
1,2018,6,1,1,3,5,4,18.7,1,31,0
1,2018,6,1,2,0,5,4,18,1,31,0
1,2018,6,1,2,1,5,4,18,1,31,0
1,2018,6,1,2,2,5,4,18,1,31,0
1,2018,6,1,2,3,5,4,18,1,31,0
1,2018,6,1,3,0,5,4,17.4,4,31,0
1,2018,6,1,3,1,5,4,17.4,4,31,0
1,2018,6,1,3,2,5,4,17.4,4,31,0
1,2018,6,1,3,3,5,4,17.4,4,31,0
1,2018,6,1,4,0,5,4,16.6,4,31,0
1,2018,6,1,4,1,5,4,16.6,4,31,0
1,2018,6,1,4,2,5,4,16.6,4,31,0
1,2018,6,1,4,3,5,4,16.6,4,31,0
1,2018,6,1,5,0,5,4,16.2,4,31,0
1,2018,6,1,5,1,5,4,16.2,4,31,0
1,2018,6,1,5,2,5,4,16.2,4,31,0
1,2018,6,1,5,3,5,4,16.2,4,31,0
1,2018,6,1,6,0,5,4,16.1,4,31,0
1,2018,6,1,6,1,5,4,16.1,4,31,0
1,2018,6,1,6,2,5,4,16.1,4,31,0
1,2018,6,1,6,3,5,4,16.1,4,31,0
1,2018,6,1,7,0,5,4,17.9,4,31,20
1,2018,6,1,7,1,5,4,17.9,4,31,20
1,2018,6,1,7,2,5,4,17.9,4,31,20
1,2018,6,1,7,3,5,4,17.9,4,31,20
1,2018,6,1,8,0,5,4,19.8,4,31,64
1,2018,6,1,8,1,5,4,19.8,4,31,64
1,2018,6,1,8,2,5,4,19.8,4,31,64
1,2018,6,1,8,3,5,4,19.8,4,31,64
1,2018,6,1,9,0,5,4,22,1,31,100
1,2018,6,1,9,1,5,4,22,1,31,100
1,2018,6,1,9,2,5,4,22,1,31,100
1,2018,6,1,9,3,5,4,22,1,31,100
1,2018,6,1,10,0,5,4,24.6,1,31,96
1,2018,6,1,10,1,5,4,24.6,1,31,96
1,2018,6,1,10,2,5,4,24.6,1,31,96
1,2018,6,1,10,3,5,4,24.6,1,31,96
1,2018,6,1,11,0,5,4,26.9,1,31,104
1,2018,6,1,11,1,5,4,26.9,1,31,104
1,2018,6,1,11,2,5,4,26.9,1,31,104
1,2018,6,1,11,3,5,4,26.9,1,31,104
1,2018,6,1,12,0,5,4,28.4,1,31,112
1,2018,6,1,12,1,5,4,28.4,1,31,112
1,2018,6,1,12,2,5,4,28.4,1,31,112
1,2018,6,1,12,3,5,4,28.4,1,31,112
1,2018,6,1,13,0,5,4,29.7,1,31,104
1,2018,6,1,13,1,5,4,29.7,1,31,104
1,2018,6,1,13,2,5,4,29.7,1,31,104
1,2018,6,1,13,3,5,4,29.7,1,31,104
1,2018,6,1,14,0,5,4,30.3,1,31,104
1,2018,6,1,14,1,5,4,30.3,1,31,104
1,2018,6,1,14,2,5,4,30.3,1,31,104
1,2018,6,1,14,3,5,4,30.3,1,31,104
1,2018,6,1,15,0,5,4,30.5,1,31,100
1,2018,6,1,15,1,5,4,30.5,1,31,100
1,2018,6,1,15,2,5,4,30.5,1,31,100
1,2018,6,1,15,3,5,4,30.5,1,31,100
1,2018,6,1,16,0,5,4,30.5,1,31,96
1,2018,6,1,16,1,5,4,30.5,1,31,96
1,2018,6,1,16,2,5,4,30.5,1,31,96
1,2018,6,1,16,3,5,4,30.5,1,31,96
1,2018,6,1,17,0,5,4,30.2,1,31,52
1,2018,6,1,17,1,5,4,30.2,1,31,52
1,2018,6,1,17,2,5,4,30.2,1,31,52
1,2018,6,1,17,3,5,4,30.2,1,31,52
1,2018,6,1,18,0,5,4,28.8,1,31,12
1,2018,6,1,18,1,5,4,28.8,1,31,12
1,2018,6,1,18,2,5,4,28.8,1,31,12
1,2018,6,1,18,3,5,4,28.8,1,31,12
1,2018,6,1,19,0,5,4,26.9,1,31,0
1,2018,6,1,19,1,5,4,26.9,1,31,0
1,2018,6,1,19,2,5,4,26.9,1,31,0
1,2018,6,1,19,3,5,4,26.9,1,31,0
1,2018,6,1,20,0,5,4,24.6,1,31,0
1,2018,6,1,20,1,5,4,24.6,1,31,0
1,2018,6,1,20,2,5,4,24.6,1,31,0
1,2018,6,1,20,3,5,4,24.6,1,31,0
1,2018,6,1,21,0,5,4,23.6,1,31,0
1,2018,6,1,21,1,5,4,23.6,1,31,0
1,2018,6,1,21,2,5,4,23.6,1,31,0
1,2018,6,1,21,3,5,4,23.6,1,31,0
1,2018,6,1,22,0,5,4,22.9,1,31,0
1,2018,6,1,22,1,5,4,22.9,1,31,0
1,2018,6,1,22,2,5,4,22.9,1,31,0
1,2018,6,1,22,3,5,4,22.9,1,31,0
1,2018,6,1,23,0,5,4,21.9,1,31,0
1,2018,6,1,23,1,5,4,21.9,1,31,0
1,2018,6,1,23,2,5,4,21.9,1,31,0
1,2018,6,1,23,3,5,4,21.9,1,31,0
1,2018,6,1,24,0,5,4,20.4,1,31,0
1,2018,6,2,0,1,6,5,20.4,1,31,0
1,2018,6,2,0,2,6,5,20.4,1,31,0
1,2018,6,2,0,3,6,5,20.4,1,31,0
1,2018,6,2,1,0,6,5,19.3,1,31,0
1,2018,6,2,1,1,6,5,19.3,1,31,0
1,2018,6,2,1,2,6,5,19.3,1,31,0
1,2018,6,2,1,3,6,5,19.3,1,31,0
1,2018,6,2,2,0,6,5,18.3,1,31,0
1,2018,6,2,2,1,6,5,18.3,1,31,0
1,2018,6,2,2,2,6,5,18.3,1,31,0
1,2018,6,2,2,3,6,5,18.3,1,31,0
1,2018,6,2,3,0,6,5,17.3,1,31,0
1,2018,6,2,3,1,6,5,17.3,1,31,0
1,2018,6,2,3,2,6,5,17.3,1,31,0
1,2018,6,2,3,3,6,5,17.3,1,31,0
1,2018,6,2,4,0,6,5,16.6,1,31,0
1,2018,6,2,4,1,6,5,16.6,1,31,0
1,2018,6,2,4,2,6,5,16.6,1,31,0
1,2018,6,2,4,3,6,5,16.6,1,31,0
1,2018,6,2,5,0,6,5,16.1,1,31,0
1,2018,6,2,5,1,6,5,16.1,1,31,0
1,2018,6,2,5,2,6,5,16.1,1,31,0
1,2018,6,2,5,3,6,5,16.1,1,31,0
1,2018,6,2,6,0,6,5,16,1,31,0
1,2018,6,2,6,1,6,5,16,1,31,0
1,2018,6,2,6,2,6,5,16,1,31,0
1,2018,6,2,6,3,6,5,16,1,31,0
1,2018,6,2,7,0,6,5,17.7,1,31,20
1,2018,6,2,7,1,6,5,17.7,1,31,20
1,2018,6,2,7,2,6,5,17.7,1,31,20
1,2018,6,2,7,3,6,5,17.7,1,31,20
1,2018,6,2,8,0,6,5,20.3,1,31,72
1,2018,6,2,8,1,6,5,20.3,1,31,72
1,2018,6,2,8,2,6,5,20.3,1,31,72
1,2018,6,2,8,3,6,5,20.3,1,31,72
1,2018,6,2,9,0,6,5,22.7,1,31,100
1,2018,6,2,9,1,6,5,22.7,1,31,100
1,2018,6,2,9,2,6,5,22.7,1,31,100
1,2018,6,2,9,3,6,5,22.7,1,31,100
1,2018,6,2,10,0,6,5,25.2,1,31,104
1,2018,6,2,10,1,6,5,25.2,1,31,104
1,2018,6,2,10,2,6,5,25.2,1,31,104
1,2018,6,2,10,3,6,5,25.2,1,31,104
1,2018,6,2,11,0,6,5,27.2,1,31,104
1,2018,6,2,11,1,6,5,27.2,1,31,104
1,2018,6,2,11,2,6,5,27.2,1,31,104
1,2018,6,2,11,3,6,5,27.2,1,31,104
1,2018,6,2,12,0,6,5,28.6,1,31,104
1,2018,6,2,12,1,6,5,28.6,1,31,104
1,2018,6,2,12,2,6,5,28.6,1,31,104
1,2018,6,2,12,3,6,5,28.6,1,31,104
1,2018,6,2,13,0,6,5,29.8,1,31,120
