BuildingIndex,Year,Month,Day,Hour,Quarter,P1(Humidity),P2(WindSpeed),P3(Temp),P4(CloudCover),P5(Rain),P6(SolarIrradiation),generation
1,2019,2,6,0,0,40,0.1,3.7,4,0,0,0
1,2019,2,6,0,1,49,1.6,1.6,4,0,0,0
1,2019,2,6,0,2,49,1.6,1.6,4,0,0,0
1,2019,2,6,0,3,49,1.6,1.6,4,0,0,0
1,2019,2,6,1,0,49,1.6,1.6,4,0,0,0
1,2019,2,6,1,1,54,0.6,1.7,4,0,0,0
1,2019,2,6,1,2,54,0.6,1.7,4,0,0,0
1,2019,2,6,1,3,54,0.6,1.7,4,0,0,0
1,2019,2,6,2,0,54,0.6,1.7,4,0,0,0
1,2019,2,6,2,1,62,0.1,1.3,4,0,0,0
1,2019,2,6,2,2,62,0.1,1.3,4,0,0,0
1,2019,2,6,2,3,62,0.1,1.3,4,0,0,0
1,2019,2,6,3,0,62,0.1,1.3,4,0,0,0
1,2019,2,6,3,1,59,0.2,0.8,4,0,0,0
1,2019,2,6,3,2,59,0.2,0.8,4,0,0,0
1,2019,2,6,3,3,59,0.2,0.8,4,0,0,0
1,2019,2,6,4,0,59,0.2,0.8,4,0,0,0
1,2019,2,6,4,1,60,1.1,0.2,2,0,0,0
1,2019,2,6,4,2,60,1.1,0.2,2,0,0,0
1,2019,2,6,4,3,60,1.1,0.2,2,0,0,0
1,2019,2,6,5,0,60,1.1,0.2,2,0,0,0
1,2019,2,6,5,1,57,0.9,0.2,1,0,0,0
1,2019,2,6,5,2,57,0.9,0.2,1,0,0,0
1,2019,2,6,5,3,57,0.9,0.2,1,0,0,0
1,2019,2,6,6,0,57,0.9,0.2,1,0,0,0
1,2019,2,6,6,1,61,0.9,-0.6,3,0,0,0
1,2019,2,6,6,2,61,0.9,-0.6,3,0,0,0
1,2019,2,6,6,3,61,0.9,-0.6,3,0,0,0
1,2019,2,6,7,0,61,0.9,-0.6,3,0,0,0
1,2019,2,6,7,1,61,0.9,-0.6,3,0,0,0
1,2019,2,6,7,2,61,0.9,-0.6,3,0,0,0.4
1,2019,2,6,7,3,61,0.9,-0.6,3,0,0,0.4
1,2019,2,6,8,0,61,0.9,-0.6,3,0,0,0.8
1,2019,2,6,8,1,60,1.7,0.9,1,0,0.48,2.8
1,2019,2,6,8,2,60,1.7,0.9,1,0,0.48,3.6
1,2019,2,6,8,3,60,1.7,0.9,1,0,0.48,5.2
1,2019,2,6,9,0,60,1.7,0.9,1,0,0.48,6.8
1,2019,2,6,9,1,44,0.3,5.4,1,0,1.18,7.6
1,2019,2,6,9,2,44,0.3,5.4,1,0,1.18,9.2
1,2019,2,6,9,3,44,0.3,5.4,1,0,1.18,10
1,2019,2,6,10,0,44,0.3,5.4,1,0,1.18,10.8
1,2019,2,6,10,1,32,1.1,7.7,1,0,1.74,12
1,2019,2,6,10,2,32,1.1,7.7,1,0,1.74,12.4
1,2019,2,6,10,3,32,1.1,7.7,1,0,1.74,13.2
1,2019,2,6,11,0,32,1.1,7.7,1,0,1.74,14
1,2019,2,6,11,1,28,2,9.9,2,0,2.15,14.4
1,2019,2,6,11,2,28,2,9.9,2,0,2.15,14.4
1,2019,2,6,11,3,28,2,9.9,2,0,2.15,15.6
1,2019,2,6,12,0,28,2,9.9,2,0,2.15,15.2
1,2019,2,6,12,1,21,1.3,11.3,2,0,2.21,15.6
1,2019,2,6,12,2,21,1.3,11.3,2,0,2.21,15.2
1,2019,2,6,12,3,21,1.3,11.3,2,0,2.21,14.4
1,2019,2,6,13,0,21,1.3,11.3,2,0,2.21,14.8
1,2019,2,6,13,1,16,0.6,12.1,2,0,1.72,13.6
1,2019,2,6,13,2,16,0.6,12.1,2,0,1.72,9.2
1,2019,2,6,13,3,16,0.6,12.1,2,0,1.72,8.4
1,2019,2,6,14,0,16,0.6,12.1,2,0,1.72,14
1,2019,2,6,14,1,13,1.5,14,2,0,1.73,12.8
1,2019,2,6,14,2,13,1.5,14,2,0,1.73,11.6
1,2019,2,6,14,3,13,1.5,14,2,0,1.73,8.8
1,2019,2,6,15,0,13,1.5,14,2,0,1.73,9.2
1,2019,2,6,15,1,16,2.3,13.8,3,0,1.25,10.4
1,2019,2,6,15,2,16,2.3,13.8,3,0,1.25,9.2
1,2019,2,6,15,3,16,2.3,13.8,3,0,1.25,6
1,2019,2,6,16,0,16,2.3,13.8,3,0,1.25,3.2
1,2019,2,6,16,1,17,2.7,13.7,3,0,0.48,3.2
1,2019,2,6,16,2,17,2.7,13.7,3,0,0.48,2.8
1,2019,2,6,16,3,17,2.7,13.7,3,0,0.48,2
1,2019,2,6,17,0,17,2.7,13.7,3,0,0.48,1.6
1,2019,2,6,17,1,19,1.8,12.2,3,0,0.09,0.8
1,2019,2,6,17,2,19,1.8,12.2,3,0,0.09,0
1,2019,2,6,17,3,19,1.8,12.2,3,0,0.09,0
1,2019,2,6,18,0,19,1.8,12.2,3,0,0.09,0
1,2019,2,6,18,1,23,0.2,10.6,2,0,0,0
1,2019,2,6,18,2,23,0.2,10.6,2,0,0,0
1,2019,2,6,18,3,23,0.2,10.6,2,0,0,0
1,2019,2,6,19,0,23,0.2,10.6,2,0,0,0
1,2019,2,6,19,1,29,0.3,9.3,4,0,0,0
1,2019,2,6,19,2,29,0.3,9.3,4,0,0,0
1,2019,2,6,19,3,29,0.3,9.3,4,0,0,0
1,2019,2,6,20,0,29,0.3,9.3,4,0,0,0
1,2019,2,6,20,1,34,0.2,8.3,3,0,0,0
1,2019,2,6,20,2,34,0.2,8.3,3,0,0,0
1,2019,2,6,20,3,34,0.2,8.3,3,0,0,0
1,2019,2,6,21,0,34,0.2,8.3,3,0,0,0
1,2019,2,6,21,1,39,0.4,7,4,0,0,0
1,2019,2,6,21,2,39,0.4,7,4,0,0,0
1,2019,2,6,21,3,39,0.4,7,4,0,0,0
1,2019,2,6,22,0,39,0.4,7,4,0,0,0
1,2019,2,6,22,1,42,0.2,6.4,4,0,0,0
1,2019,2,6,22,2,42,0.2,6.4,4,0,0,0
1,2019,2,6,22,3,42,0.2,6.4,4,0,0,0
1,2019,2,6,23,0,42,0.2,6.4,4,0,0,0
1,2019,2,6,23,1,42,0.2,6.4,4,0,0,0
1,2019,2,6,23,2,42,0.2,6.4,4,0,0,0
1,2019,2,6,23,3,42,0.2,6.4,4,0,0,0
1,2019,2,7,0,0,42,0.2,6.4,4,0,0,0
1,2019,2,7,0,1,52,0.5,5,4,0,0,0
1,2019,2,7,0,2,52,0.5,5,4,0,0,0
1,2019,2,7,0,3,52,0.5,5,4,0,0,0
1,2019,2,7,1,0,52,0.5,5,4,0,0,0
1,2019,2,7,1,1,55,0.2,4.5,4,0,0,0
1,2019,2,7,1,2,55,0.2,4.5,4,0,0,0
1,2019,2,7,1,3,55,0.2,4.5,4,0,0,0
1,2019,2,7,2,0,55,0.2,4.5,4,0,0,0
1,2019,2,7,2,1,57,0.9,4.6,4,0,0,0
1,2019,2,7,2,2,57,0.9,4.6,4,0,0,0
1,2019,2,7,2,3,57,0.9,4.6,4,0,0,0
1,2019,2,7,3,0,57,0.9,4.6,4,0,0,0
1,2019,2,7,3,1,59,0.7,5,4,0,0,0
1,2019,2,7,3,2,59,0.7,5,4,0,0,0
1,2019,2,7,3,3,59,0.7,5,4,0,0,0
1,2019,2,7,4,0,59,0.7,5,4,0,0,0
1,2019,2,7,4,1,62,0.1,4.3,4,0,0,0
1,2019,2,7,4,2,62,0.1,4.3,4,0,0,0
1,2019,2,7,4,3,62,0.1,4.3,4,0,0,0
1,2019,2,7,5,0,62,0.1,4.3,4,0,0,0
