ID,year,month,day,hour,term,Humidity,WindSpeed,Temp,CloudCover,Rain,SolarIrradiation,generation,forecast_generation
1,14,5,23,0.5,1,81,4,15.4,9,0,0,0,0
1,14,5,23,1,2,79,2.3,15,9,0,0,0,0
1,14,5,23,1.5,1,79,2.3,15,9,0,0,0,0
1,14,5,23,2,2,78,2.9,14.5,9,0,0,0,0
1,14,5,23,2.5,1,78,2.9,14.5,9,0,0,0,0
1,14,5,23,3,2,73,3.7,14.4,10,0,0,0,0
1,14,5,23,3.5,1,73,3.7,14.4,10,0,0,0,0
1,14,5,23,4,2,72,3.8,14.3,10,0,0,0,0
1,14,5,23,4.5,1,72,3.8,14.3,10,0,0,0,0
1,14,5,23,5,2,71,2.3,14.5,10,0,0.01,0,0
1,14,5,23,5.5,1,71,2.3,14.5,10,0,0.01,0,0
1,14,5,23,6,2,71,2.3,14.6,10,0,0.29,0,0
1,14,5,23,6.5,1,71,2.3,14.6,10,0,0.29,0,0
1,14,5,23,7,2,73,2.7,14.7,10,0,0.59,0.49175,0.421460435
1,14,5,23,7.5,1,73,2.7,14.7,10,0,0.59,0.915406,0.679312053
1,14,5,23,8,2,67,1,15.9,10,0,1.15,0.979587,1.385793549
1,14,5,23,8.5,1,67,1,15.9,10,0,1.15,1.6379308,1.454766271
1,14,5,23,9,2,67,1.7,16.7,10,0,1.71,1.9719648,1.998129058
1,14,5,23,9.5,1,67,1.7,16.7,10,0,1.71,2.0543948,1.947918034
1,14,5,23,10,2,65,2.1,17.4,10,0,1.9,2.237352,2.2762168
1,14,5,23,10.5,1,65,2.1,17.4,10,0,1.9,2.2388544,2.322379642
1,14,5,23,11,2,60,2.7,18.5,10,0,2.68,2.1564278,2.30618742
1,14,5,23,11.5,1,60,2.7,18.5,10,0,2.68,2.2173282,2.263277552
1,14,5,23,12,2,57,3.1,19.8,10,0,3.17,1.407744,2.5149888
1,14,5,23,12.5,1,57,3.1,19.8,10,0,3.17,1.8868832,1.679476893
1,14,5,23,13,2,54,3.4,20.3,10,0,2.9,2.176954,1.8733884
1,14,5,23,13.5,1,54,3.4,20.3,10,0,2.9,2.032092,1.99507718
1,14,5,23,14,2,53,2.6,21.1,10,0,2.26,2.032595,2.13213722
1,14,5,23,14.5,1,53,2.6,21.1,10,0,2.26,1.722561,1.719822825
1,14,5,23,15,2,53,3.5,20.9,10,0,1.97,1.258592,1.15858496
1,14,5,23,15.5,1,53,3.5,20.9,10,0,1.97,1.193675,1.007141113
1,14,5,23,16,2,51,4.1,20.9,10,0,1.26,0.595194,0.91545014
1,14,5,23,16.5,1,51,4.1,20.9,10,0,1.26,0.255075,0.380802488
1,14,5,23,17,2,54,4.6,20.6,10,0,0.61,0.183872,0.46835646
1,14,5,23,17.5,1,54,4.6,20.6,10,0,0.61,0.1335552,0.08317529
1,14,5,23,18,2,58,4.3,20.6,10,0,0.39,0.0592592,0.055339035
1,14,5,23,18.5,1,58,4.3,20.6,10,0,0.39,0,0
1,14,5,23,19,2,64,3.3,19.5,10,0,0.08,0,0
1,14,5,23,19.5,1,64,3.3,19.5,10,0,0.08,0,0
1,14,5,23,20,2,67,3.2,18.9,10,0,0,0,0
1,14,5,23,20.5,1,67,3.2,18.9,10,0,0,0,0
1,14,5,23,21,2,70,3.2,18.7,6,0,0,0,0
1,14,5,23,21.5,1,70,3.2,18.7,6,0,0,0,0
1,14,5,23,22,2,71,3,18.5,6,0,0,0,0
1,14,5,23,22.5,1,71,3,18.5,6,0,0,0,0
1,14,5,23,23,2,73,3.1,18.3,6,0,0,0,0
1,14,5,23,23.5,1,73,3.1,18.3,6,0,0,0,0
1,14,5,23,24,2,73,3.8,18.2,6,0,0,0,0
1,14,5,24,0.5,1,73,3.8,18.2,6,0,0,0,0
1,14,5,24,1,2,73,1.8,18.2,6,0,0,0,0
1,14,5,24,1.5,1,73,1.8,18.2,6,0,0,0,0
1,14,5,24,2,2,74,3.1,17.5,6,0,0,0,0
1,14,5,24,2.5,1,74,3.1,17.5,6,0,0,0,0
1,14,5,24,3,2,80,3.1,16.7,0,0,0,0,0
1,14,5,24,3.5,1,80,3.1,16.7,0,0,0,0,0
1,14,5,24,4,2,85,2,15.7,0,0,0,0,0
1,14,5,24,4.5,1,85,2,15.7,0,0,0,0,0
1,14,5,24,5,2,86,2.2,15.5,0,0,0.02,0,0
1,14,5,24,5.5,1,86,2.2,15.5,0,0,0.02,0,0
1,14,5,24,6,2,83,2.5,15.9,1,0,0.35,0,0
1,14,5,24,6.5,1,83,2.5,15.9,1,0,0.35,0,0
1,14,5,24,7,2,78,1.6,17.2,1,0,1.03,0.574364,0.628601271
1,14,5,24,7.5,1,78,1.6,17.2,1,0,1.03,0.9583636,0.57195692
